,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
82,ON,Toronto,1609-628 Fleet Street,Niagara,719000.0,1,1,700-799,2
83,ON,Toronto,LPH7-10 Park Lawn Road,Mimico,899900.0,2,2,800-899,4
84,ON,Toronto,1501-18 Hollywood Avenue,Willowdale East,799000.0,2+1,2,1400-1599,5
85,ON,Toronto,301-199 Richmond Street W,Waterfront Communities C1,699000.0,1+1,2,700-799,4
86,ON,Toronto,504-8 Sultan Street,Bay Street Corridor,1739000.0,2,2,1400-1599,4
87,ON,Toronto,1504-35 Brian Peck Crescent,Leaside,848000.0,2+1,2,900-999,5
88,ON,Toronto,1506-33 Lombard Street,Church-Yonge Corridor,1049900.0,2,2,800-899,4
89,ON,Toronto,211-57 Finch Avenue W,Willowdale West,999000.0,3+1,3,1200-1399,7
90,ON,Toronto,LPH7-10 Park Lawn Road,Mimico,899900.0,2,2,800-899,4
91,ON,Toronto,202-2015 Sheppard Avenue E,Henry Farm,499000.0,1,1,500-599,2
92,ON,Toronto,1029-15 Northtown Way,Willowdale East,629900.0,1+1,2,600-699,4
93,ON,Toronto,727-5 Everson Drive,Willowdale East,849900.0,2+1,2,900-999,5
94,ON,Toronto,206-100 Harrison Garden Boulevard,Willowdale East,599000.0,1+1,2,700-799,4
95,ON,Toronto,5702-88 Scott Street,Church-Yonge Corridor,6288000.0,3,5,4500-4749,8
96,ON,Toronto,503-88 Colgate Avenue,South Riverdale,579900.0,1,1,500-599,2
97,ON,Toronto,704-21 Widmer Street,Waterfront Communities C1,749000.0,1+1,1,600-699,3
98,ON,Toronto,901-25 Oxley Street,Waterfront Communities C1,878000.0,1+1,1,800-899,3
99,ON,Toronto,95 Maple Branch Path,Kingsview Village-The Westway,825000.0,3,3,1400-1599,6
100,ON,Toronto,2309-340 Dixon Road,Kingsview Village-The Westway,379900.0,2,1,900-999,3
101,ON,Toronto,323-2261 Lake Shore Boulevard,Mimico,699000.0,1,2,800-899,3
102,ON,Toronto,407-20 Gothic Avenue,High Park North,894900.0,2,1,600-699,3
103,ON,Toronto,3001-18 Yonge Street,Waterfront Communities C1,649900.0,1+1,2,700-799,4
104,ON,Toronto,703-39 Sherbourne Street,Moss Park,849900.0,2,2,900-999,4
105,ON,Toronto,1901-3 Navy Wharf Court,Waterfront Communities C1,899900.0,2+1,2,900-999,5
106,ON,Toronto,1502-131 Torresdale Avenue,Westminster-Branson,799900.0,2+1,2,1600-1799,5
107,ON,Toronto,1415-38 Joe Shuster Way,Niagara,549900.0,1,1,500-599,2
108,ON,Toronto,2011-38 Iannuzzi Street,Niagara,599900.0,1+1,1,500-599,3
109,ON,Toronto,1812-2627 Mccowan Road,Agincourt North,499900.0,1+1,1,600-699,3
110,ON,Toronto,402-263 Wellington Street W,Waterfront Communities C1,649900.0,1+1,1,800-899,3
